DIAGNOSIS CODE,LEN_DX_CODE,FIVE_DX_CODE,LONG_DESCRIPTION,SHORT_DESCRIPTION
85214,5,85214,"Subarachnoid hemorrhage following injury with open intracranial wound, with prolonged [more than 24 hours) loss of consciousness and return to pre-existing conscious level",Op subarach hem-prol com
85213,5,85213,"Subarachnoid hemorrhage following injury with open intracranial wound, with moderate [1-24 hours] loss of consciousness",Op subarach hem-mod coma
85212,5,85212,"Subarachnoid hemorrhage following injury with open intracranial wound, with brief [less than one hour] loss of consciousness",Op subarach hem-brf coma
85211,5,85211,"Subarachnoid hemorrhage following injury with open intracranial wound, with no loss of consciousness",Opn subarach hem-no coma
85210,5,85210,"Subarachnoid hemorrhage following injury with open intracranial wound, unspecified state of consciousness",Subarach hem w opn wound
85209,5,85209,"Subarachnoid hemorrhage following injury without mention of open intracranial wound, with concussion, unspecified",Subarach hem-concussion
85206,5,85206,"Subarachnoid hemorrhage following injury without mention of open intracranial wound, with loss of consciousness of unspecified duration",Subarach hem-coma NOS
85205,5,85205,"Subarachnoid hemorrhage following injury without mention of open intracranial wound, with prolonged [more than 24 hours] loss of consciousness without return to pre-existing conscious level",Subarach hem-deep coma
85204,5,85204,"Subarachnoid hemorrhage following injury without mention of open intracranial wound, with prolonged [more than 24 hours] loss of consciousness and return to pre-existing conscious level",Subarach hem-prolng coma
85203,5,85203,"Subarachnoid hemorrhage following injury without mention of open intracranial wound, with moderate [1-24 hours] loss of consciousness",Subarach hem-mod coma
85202,5,85202,"Subarachnoid hemorrhage following injury without mention of open intracranial wound, with brief [less than one hour] loss of consciousness",Subarach hem-brief coma
85201,5,85201,"Subarachnoid hemorrhage following injury without mention of open intracranial wound, with no loss of consciousness",Subarachnoid hem-no coma
85200,5,85200,"Subarachnoid hemorrhage following injury without mention of open intracranial wound, unspecified state of consciousness",Traum subarachnoid hem
85199,5,85199,"Other and unspecified cerebral laceration and contusion, with open intracranial wound, with concussion, unspecified",Open brain lacer-concuss
85196,5,85196,"Other and unspecified cerebral laceration and contusion, with open intracranial wound, with loss of consciousness of unspecified duration",Opn brain lacer-coma NOS
85195,5,85195,"Other and unspecified cerebral laceration and contusion, with open intracranial wound, with prolonged [more than 24 hours] loss of consciousness without return to pre-existing conscious level",Open brain lac-deep coma
85194,5,85194,"Other and unspecified cerebral laceration and contusion, with open intracranial wound, with prolonged [more than 24 hours] loss of consciousness and return to pre-existing conscious level",Opn brain lac-proln coma
85193,5,85193,"Other and unspecified cerebral laceration and contusion, with open intracranial wound, with moderate [1-24 hours] loss of consciousness",Opn brain lacer-mod coma
85192,5,85192,"Other and unspecified cerebral laceration and contusion, with open intracranial wound, with brief [less than one hour] loss of consciousness",Opn brain lac-brief coma
85191,5,85191,"Other and unspecified cerebral laceration and contusion, with open intracranial wound, with no loss of consciousness",Opn brain lacer w/o coma
85190,5,85190,"Other and unspecified cerebral laceration and contusion, with open intracranial wound, unspecified state of consciousness",Brain lac NEC w open wnd
85189,5,85189,"Other and unspecified cerebral laceration and contusion, without mention of open intracranial wound, with concussion, unspecified",Brain lacer NEC-concuss
85186,5,85186,"Other and unspecified cerebral laceration and contusion, without mention of open intracranial wound, with loss of consciousness of unspecified duration",Brain lacer NEC-coma NOS
85185,5,85185,"Other and unspecified cerebral laceration and contusion, without mention of open intracranial wound, with prolonged [more than 24 hours] loss of consciousness without return to pre-existing conscious level",Brain lac NEC-deep coma
85184,5,85184,"Other and unspecified cerebral laceration and contusion, without mention of open intracranial wound, with prolonged [more than 24 hours] loss of consciousness and return to pre- existing conscious level",Brain lac NEC-proln coma
85183,5,85183,"Other and unspecified cerebral laceration and contusion, without mention of open intracranial wound, with moderate [1-24 hours] loss of consciousness",Brain lacer NEC-mod coma
85182,5,85182,"Other and unspecified cerebral laceration and contusion, without mention of open intracranial wound, with brief [less than one hour] loss of consciousness",Brain lac NEC-brief coma
85181,5,85181,"Other and unspecified cerebral laceration and contusion, without mention of open intracranial wound, with no loss of consciousness",Brain lacer NEC w/o coma
85180,5,85180,"Other and unspecified cerebral laceration and contusion, without mention of open intracranial wound, unspecified state of consciousness",Brain laceration NEC
85179,5,85179,"Cerebellar or brain stem laceration with open intracranial wound, with concussion, unspecified",Opn cerebell lac-concuss
85176,5,85176,"Cerebellar or brain stem laceration with open intracranial wound, with loss of consciousness of unspecified duration",Opn cerebel lac-coma NOS
85175,5,85175,"Cerebellar or brain stem laceration with open intracranial wound, with prolonged [more than 24 hours] loss of consciousness without return to pre-existing conscious level",Opn cerebe lac-deep coma
85174,5,85174,"Cerebellar or brain stem laceration with open intracranial wound, with prolonged [more than 24 hours] loss of consciousness and return to pre-existing conscious level",Opn cerebe lac-prol coma
85173,5,85173,"Cerebellar or brain stem laceration with open intracranial wound, with moderate [1-24 hours] loss of consciousness",Opn cerebel lac-mod coma
85172,5,85172,"Cerebellar or brain stem laceration with open intracranial wound, with brief [less than one hour] loss of consciousness",Opn cerebel lac-brf coma
85171,5,85171,"Cerebellar or brain stem laceration with open intracranial wound, with no loss of consciousness",Opn cerebel lac w/o coma
85170,5,85170,"Cerebellar or brain stem laceration with open intracranial wound, unspecified state of consciousness",Cerebel lacer w open wnd
85169,5,85169,"Cerebellar or brain stem laceration without mention of open intracranial wound, with concussion, unspecified",Cerebel lacer-concussion
85166,5,85166,"Cerebellar or brain stem laceration without mention of open intracranial wound, with loss of consciousness of unspecified duration",Cerebel lacerat-coma NOS
85165,5,85165,"Cerebellar or brain stem laceration without mention of open intracranial wound, with prolonged [more than 24 hours] loss of consciousness without return to pre-existing conscious level",Cerebell lacer-deep coma
85164,5,85164,"Cerebellar or brain stem laceration without mention of open intracranial wound, with prolonged [more than 24 hours] loss of consciousness and return to pre-existing conscious level",Cerebel lacer-proln coma
85163,5,85163,"Cerebellar or brain stem laceration without mention of open intracranial wound, with moderate [1-24 hours] loss of consciousness",Cerebel lacerat-mod coma
85162,5,85162,"Cerebellar or brain stem laceration without mention of open intracranial wound, with brief [less than 1 hour] loss of consciousness",Cerebel lacer-brief coma
85161,5,85161,"Cerebellar or brain stem laceration without mention of open intracranial wound, with no loss of consciousness",Cerebel lacerat w/o coma
85160,5,85160,"Cerebellar or brain stem laceration without mention of open intracranial wound, unspecified state of consciousness",Cerebel/brain stem lacer
85159,5,85159,"Cerebellar or brain stem contusion with open intracranial wound, with concussion, unspecified",Opn cerebel cont-concuss
85156,5,85156,"Cerebellar or brain stem contusion with open intracranial wound, with loss of consciousness of unspecified duration",Opn cerebe cont-coma NOS
85155,5,85155,"Cerebellar or brain stem contusion with open intracranial wound, with prolonged [more than 24 hours] loss of consciousness without return to pre-existing conscious level",Opn cerebe cont-deep com
85154,5,85154,"Cerebellar or brain stem contusion with open intracranial wound, with prolonged [more than 24 hours] loss of consciousness and return to pre-existing conscious level",Opn cerebe cont-prol com
85153,5,85153,"Cerebellar or brain stem contusion with open intracranial wound, with moderate [1-24 hours] loss of consciousness",Opn cerebe cont-mod coma
85152,5,85152,"Cerebellar or brain stem contusion with open intracranial wound, with brief [less than one hour] loss of consciousness",Opn cerebe cont-brf coma
85151,5,85151,"Cerebellar or brain stem contusion with open intracranial wound, with no loss of consciousness",Opn cerebe cont w/o coma
85150,5,85150,"Cerebellar or brain stem contusion with open intracranial wound, unspecified state of consciousness",Cerebel contus w opn wnd
85149,5,85149,"Cerebellar or brain stem contusion without mention of open intracranial wound, with concussion, unspecified",Cerebell contus-concuss
85146,5,85146,"Cerebellar or brain stem contusion without mention of open intracranial wound, with loss of consciousness of unspecified duration",Cerebell contus-coma NOS
85145,5,85145,"Cerebellar or brain stem contusion without mention of open intracranial wound, with prolonged [more than 24 hours] loss of consciousness without return to pre-existing conscious level",Cerebel contus-deep coma
85144,5,85144,"Cerebellar or brain stem contusion without mention of open intracranial wound, with prolonged [more than 24 hours] loss consciousness and return to pre-existing conscious level",Cerebel contus-prol coma
85143,5,85143,"Cerebellar or brain stem contusion without mention of open intracranial wound, with moderate [1-24 hours] loss of consciousness",Cerebell contus-mod coma
85142,5,85142,"Cerebellar or brain stem contusion without mention of open intracranial wound, with brief [less than one hour] loss of consciousness",Cerebell contus-brf coma
85141,5,85141,"Cerebellar or brain stem contusion without mention of open intracranial wound, with no loss of consciousness",Cerebell contus w/o coma
85140,5,85140,"Cerebellar or brain stem contusion without mention of open intracranial wound, unspecified state of consciousness",Cerebel/brain stm contus
85139,5,85139,"Cortex (cerebral) laceration with open intracranial wound, with concussion, unspecified",Opn cortx lacer-concuss
85136,5,85136,"Cortex (cerebral) laceration with open intracranial wound, with loss of consciousness of unspecified duration",Opn cortx lacer-coma NOS
85135,5,85135,"Cortex (cerebral) laceration with open intracranial wound, with prolonged [more than 24 hours] loss of consciousness without return to pre-existing conscious level",Opn cortex lac-deep coma
85134,5,85134,"Cortex (cerebral) laceration with open intracranial wound, with prolonged [more than 24 hours] loss of consciousness and return to pre-existing conscious level",Opn cortx lac-proln coma
85133,5,85133,"Cortex (cerebral) laceration with open intracranial wound, with moderate [1-24 hours] loss of consciousness",Opn cortx lacer-mod coma
85132,5,85132,"Cortex (cerebral) laceration with open intracranial wound, with brief [less than one hour] loss of consciousness",Opn cortx lac-brief coma
85131,5,85131,"Cortex (cerebral) laceration with open intracranial wound, with no loss of consciousness",Opn cortex lacer-no coma
85130,5,85130,"Cortex (cerebral) laceration with open intracranial wound, unspecified state of consciousness",Cortex lacer w opn wound
85129,5,85129,"Cortex (cerebral) laceration without mention of open intracranial wound, with concussion, unspecified",Cortex lacerat-concuss
85126,5,85126,"Cortex (cerebral) laceration without mention of open intracranial wound, with loss of consciousness of unspecified duration",Cortex lacerat-coma NOS
85125,5,85125,"Cortex (cerebral) laceration without mention of open intracranial wound, with prolonged [more than 24 hours] loss of consciousness without return to pre-existing conscious level",Cortex lacerat-deep coma
85124,5,85124,"Cortex (cerebral) laceration without mention of open intracranial wound, with prolonged [more than 24 hours] loss of consciousness and return to pre-existing conscious level",Cortex lacerat-prol coma
85123,5,85123,"Cortex (cerebral) laceration without mention of open intracranial wound, with moderate [1-24 hours] loss of consciousness",Cortex lacerat-mod coma
85122,5,85122,"Cortex (cerebral) laceration without mention of open intracranial wound, with brief [less than one hour] loss of consciousness",Cortex lacera-brief coma
85121,5,85121,"Cortex (cerebral) laceration without mention of open intracranial wound, with no loss of consciousness",Cortex lacerat w/o coma
85120,5,85120,"Cortex (cerebral) laceration without mention of open intracranial wound, unspecified state of consciousness",Cerebral cortex lacerat
85119,5,85119,"Cortex (cerebral) contusion with open intracranial wound, with concussion, unspecified",Opn cortx contus-concuss
85116,5,85116,"Cortex (cerebral) contusion with open intracranial wound, with loss of consciousness of unspecified duration",Opn cort contus-coma NOS
85115,5,85115,"Cortex (cerebral) contusion with open intracranial wound, with prolonged [more than 24 hours] loss of consciousness without return to pre-existing conscious level",Opn cort contu-deep coma
85114,5,85114,"Cortex (cerebral) contusion with open intracranial wound, with prolonged [more than 24 hours] loss of consciousness and return to pre-existing conscious level",Opn cort contu-prol coma
85113,5,85113,"Cortex (cerebral) contusion with open intracranial wound, with moderate [1-24 hours] loss of consciousness",Opn cort contus-mod coma
85112,5,85112,"Cortex (cerebral) contusion with open intracranial wound, with brief [less than one hour] loss of consciousness",Opn cort contus-brf coma
85111,5,85111,"Cortex (cerebral) contusion with open intracranial wound, with no loss of consciousness",Opn cortx contus-no coma
85110,5,85110,"Cortex (cerebral) contusion with open intracranial wound, unspecified state of consciousness",Cortex contusion/opn wnd
85109,5,85109,"Cortex (cerebral) contusion without mention of open intracranial wound, with concussion, unspecified",Cortex contus-concus NOS
85106,5,85106,"Cortex (cerebral) contusion without mention of open intracranial wound, with loss of consciousness of unspecified duration",Cortex contus-coma NOS
85105,5,85105,"Cortex (cerebral) contusion without mention of open intracranial wound, with prolonged [more than 24 hours] loss of consciousness without return to pre-existing conscious level",Cortex contus-deep coma
85104,5,85104,"Cortex (cerebral) contusion without mention of open intracranial wound, with prolonged [more than 24 hours] loss of consciousness and return to pre-existing conscious level",Cortx contus-prolng coma
85103,5,85103,"Cortex (cerebral) contusion without mention of open intracranial wound, with moderate [1-24 hours] loss of consciousness",Cortex contus-mod coma
85102,5,85102,"Cortex (cerebral) contusion without mention of open intracranial wound, with brief [less than one hour] loss of consciousness",Cortex contus-brief coma
85101,5,85101,"Cortex (cerebral) contusion without mention of open intracranial wound, with no loss of consciousness",Cortex contusion-no coma
85100,5,85100,"Cortex (cerebral) contusion without mention of open intracranial wound, unspecified state of consciousness",Cerebral cortx contusion
85012,5,85012,"Concussion, with loss of consciousness from 31 to 59 minutes",Concus-brf coma 31-59 mn
85011,5,85011,"Concussion, with loss of consciousness of 30 minutes or less",Concus-brief coma <31 mn
84849,5,84849,"Sprain of sternum, other",Sprain of sternum NEC
84842,5,84842,Sprain of chondrosternal (joint),Sprain chondrosternal
84841,5,84841,Sprain of sternoclavicular (joint) (ligament),Sprain sternoclavicular
84840,5,84840,"Sprain of sternum, unspecified site",Sprain of sternum NOS
84519,5,84519,Other sprain of foot,Sprain of foot NEC
84513,5,84513,"Sprain of interphalangeal (joint), toe",Sprain interphalang toe
84512,5,84512,Sprain of metatarsophalangeal (joint) of foot,Sprain metatarsophalang
84511,5,84511,Sprain of tarsometatarsal (joint) (ligament) of foot,Sprain tarsometatarsal
84510,5,84510,"Sprain of foot, unspecified site",Sprain of foot NOS
84509,5,84509,Other sprains and strains of ankle,Sprain of ankle NEC
84503,5,84503,"Sprain of tibiofibular (ligament), distal of ankle",Sprain distal tibiofibul
84502,5,84502,Sprain of calcaneofibular (ligament) of ankle,Sprain calcaneofibular
84501,5,84501,"Sprain of deltoid (ligament), ankle",Sprain of ankle deltoid
84500,5,84500,"Sprain of ankle, unspecified site",Sprain of ankle NOS
84219,5,84219,Other sprains and strains of hand,Sprain of hand NEC
84213,5,84213,Sprain of interphalangeal (joint) of hand,Sprain interphalangeal
84212,5,84212,Sprain of metacarpophalangeal (joint) of hand,Sprain metacarpophalang
84211,5,84211,Sprain of carpometacarpal (joint) of hand,Sprain carpometacarpal
84210,5,84210,"Sprain of hand, unspecified site",Sprain of hand NOS
84209,5,84209,Other sprains and strains of wrist,Sprain of wrist NEC
84202,5,84202,Sprain of radiocarpal (joint) (ligament) of wrist,Sprain radiocarpal
84201,5,84201,Sprain of carpal (joint) of wrist,Sprain carpal
84200,5,84200,"Sprain of wrist, unspecified site",Sprain of wrist NOS
83979,5,83979,"Open dislocation, other location",Dislocat site NEC-open
83971,5,83971,"Open dislocation, sternum",Dislocation sternum-open
83969,5,83969,"Closed dislocation, other location",Dislocat site NEC-closed
83961,5,83961,"Closed dislocation, sternum",Dislocat sternum-closed
83959,5,83959,"Open dislocation, vertebra,other",Disloc vertebra NEC-open
83952,5,83952,"Open dislocation, sacrum",Dislocat sacrum-open
83951,5,83951,"Open dislocation, coccyx",Dislocat coccyx-open
83950,5,83950,"Open dislocation, vertebra, unspecified site",Disloc vertebra NOS-open
83949,5,83949,"Closed dislocation, vertebra, other",Dislocat vertebra NEC-cl
83942,5,83942,"Closed dislocation, sacrum",Dislocat sacrum-closed
83941,5,83941,"Closed dislocation, coccyx",Dislocat coccyx-closed
83940,5,83940,"Closed dislocation, vertebra, unspecified site",Dislocat vertebra NOS-cl
83931,5,83931,"Open dislocation, thoracic vertebra",Disloc thoracic vert-opn
83930,5,83930,"Open dislocation, lumbar vertebra",Dislocat lumbar vert-opn
83921,5,83921,"Closed dislocation, thoracic vertebra",Disloc thoracic vert-cl
83920,5,83920,"Closed dislocation, lumbar vertebra",Dislocat lumbar vert-cl
83918,5,83918,"Open dislocation, multiple cervical vertebrae",Disloc mlt cerv vert-opn
83917,5,83917,"Open dislocation, seventh cervical vertebra",Disloc 7th cerv vert-opn
83916,5,83916,"Open dislocation, sixth cervical vertebra",Disloc 6th cerv vert-opn
83915,5,83915,"Open dislocation, fifth cervical vertebra",Disloc 5th cerv vert-opn
83914,5,83914,"Open dislocation, fourth cervical vertebra",Disloc 4th cerv vert-opn
83913,5,83913,"Open dislocation, third cervical vertebra",Disloc 3rd cerv vert-opn
83912,5,83912,"Open dislocation, second cervical vertebra",Disloc 2nd cerv vert-opn
83911,5,83911,"Open dislocation, first cervical vertebra",Disloc lst cerv vert-opn
83910,5,83910,"Open dislocation, cervical vertebra, unspecified",Disloc cerv vert NOS-opn
83908,5,83908,"Closed dislocation, multiple cervical vertebrae",Disloc mult cerv vert-cl
83907,5,83907,"Closed dislocation, seventh cervical vertebra",Disloc 7th cerv vert-cl
83906,5,83906,"Closed dislocation, sixth cervical vertebra",Disloc 6th cerv vert-cl
83905,5,83905,"Closed dislocation, fifth cervical vertebra",Disloc 5th cerv vert-cl
83904,5,83904,"Closed dislocation, fourth cervical vertebra",Disloc 4th cerv vert-cl
83903,5,83903,"Closed dislocation, third cervical vertebra",Disloc 3rd cerv vert-cl
83902,5,83902,"Closed dislocation, second cervical vertebra",Disloc 2nd cerv vert-cl
83901,5,83901,"Closed dislocation, first cervical vertebra",Disloc 1st cerv vert-cl
83900,5,83900,"Closed dislocation, cervical vertebra, unspecified",Disloc cerv vert NOS-cl
83819,5,83819,"Open dislocation of foot, other",Dislocat foot NEC-open
83816,5,83816,"Open dislocation of interphalangeal (joint), foot",Dis interphalan foot-opn
83815,5,83815,Open dislocation of metatarsophalangeal (joint),Disloc metatarsophal-opn
83814,5,83814,"Open dislocation of metatarsal (bone), joint unspecified",Disl metatarsal NOS-open
83813,5,83813,Open dislocation of tarsometatarsal (joint),Disl tarsometatarsal-opn
83812,5,83812,Open dislocation of midtarsal (joint),Disloc midtarsal-open
83811,5,83811,"Open dislocation of tarsal (bone), joint unspecified",Disloc tarsal NOS-open
83810,5,83810,"Open dislocation of foot, unspecified",Dislocat foot NOS-open
83809,5,83809,"Closed dislocation of foot, other",Dislocat foot NEC-closed
83806,5,83806,"Closed dislocation of interphalangeal (joint), foot",Disl interphalan foot-cl
83805,5,83805,Closed dislocation of metatarsophalangeal (joint),Disl metatarsophalang-cl
83804,5,83804,"Closed dislocation of metatarsal (bone), joint unspecified",Disloc metatarsal NOS-cl
83803,5,83803,Closed dislocation of tarsometatarsal (joint),Disloc tarsometatars-cl
83802,5,83802,Closed dislocation of midtarsal (joint),Disloc midtarsal-closed
83801,5,83801,"Closed dislocation of tarsal (bone), joint unspecified",Disloc tarsal NOS-closed
83800,5,83800,"Closed dislocation of foot, unspecified",Dislocat foot NOS-closed
83669,5,83669,"Other dislocation of knee, open",Dislocat knee NEC-open
83664,5,83664,"Lateral dislocation of tibia, proximal end, open",Lat disl prox tibia-open
83663,5,83663,"Medial dislocation of tibia, proximal end, open",Med disl prox tibia-open
83662,5,83662,"Posterior dislocation of tibia, proximal end, open",Post disl prox tibia-opn
83661,5,83661,"Anterior dislocation of tibia, proximal end, open",Ant disl prox tibia-open
83660,5,83660,"Dislocation of knee, unspecified, open",Dislocat knee NOS-open
83659,5,83659,"Other dislocation of knee, closed",Dislocat knee NEC-closed
83654,5,83654,"Lateral dislocation of tibia, proximal end, closed",Lat disloc prox tibia-cl
83653,5,83653,"Medial dislocation of tibia, proximal end, closed",Med disloc prox tibia-cl
83652,5,83652,"Posterior dislocation of tibia, proximal end, closed",Post disl prox tibia-cl
83651,5,83651,"Anterior dislocation of tibia, proximal end, closed",Ant disloc prox tibia-cl
83650,5,83650,"Dislocation of knee, unspecified, closed",Dislocat knee NOS-closed
83513,5,83513,Other open anterior dislocation of hip,Ant disloc hip NEC-open
83512,5,83512,Open obturator dislocation of hip,Obturator disloc hip-opn
83511,5,83511,Open posterior dislocation of hip,Posterior disloc hip-opn
83510,5,83510,"Open dislocation of hip, unspecified site",Dislocation hip NOS-open
83503,5,83503,Other closed anterior dislocation of hip,Ant disloc hip NEC-clos
83502,5,83502,Closed obturator dislocation of hip,Obturator disloc hip-cl
83501,5,83501,Closed posterior dislocation of hip,Posterior disloc hip-cl
83500,5,83500,"Closed dislocation of hip, unspecified site",Dislocat hip NOS-closed
83412,5,83412,"Open dislocation interphalangeal (joint), hand",Disl interphaln hand-opn
83411,5,83411,Open dislocation of metacarpophalangeal (joint),Disl metacarpophalan-opn
83410,5,83410,"Open dislocation of finger, unspecified part",Disloc finger NOS-open
83402,5,83402,"Closed dislocation of interphalangeal (joint), hand",Disl interphaln hand-cl
83401,5,83401,Closed dislocation of metacarpophalangeal (joint),Disloc metacarpophaln-cl
83400,5,83400,"Closed dislocation of finger, unspecified part",Disl finger NOS-closed
83319,5,83319,"Open dislocation of wrist, other",Dislocat wrist NEC-open
83315,5,83315,"Open dislocation of metacarpal (bone), proximal end",Dislocat metacarpal-open
83314,5,83314,Open dislocation of carpometacarpal (joint),Disloc carpometacarp-opn
83313,5,83313,Open dislocation of midcarpal (joint),Dislocat midcarpal-open
83312,5,83312,Open dislocation of radiocarpal (joint),Disloc radiocarpal-open
83311,5,83311,"Open dislocation of radioulnar (joint), distal",Disloc dist radiouln-opn
83310,5,83310,"Open dislocation of wrist, unspecified part",Dislocat wrist NOS-open
83309,5,83309,"Closed dislocation of wrist, other",Disloc wrist NEC-closed
83305,5,83305,"Closed dislocation of metacarpal (bone), proximal end",Disloc metacarpal-closed
83304,5,83304,Closed dislocation of carpometacarpal (joint),Disloc carpometacarp-cl
83303,5,83303,Closed dislocation of midcarpal (joint),Disloca midcarpal-closed
83302,5,83302,Closed dislocation of radiocarpal (joint),Disloc radiocarpal-clos
83301,5,83301,"Closed dislocation of radioulnar (joint), distal",Disloc dist radiouln-cl
83300,5,83300,"Closed dislocation of wrist, unspecified part",Disloc wrist NOS-closed
83219,5,83219,"Open dislocation of elbow, other",Dislocat elbow NEC-open
83214,5,83214,Open lateral dislocation of elbow,Lat dislocat elbow-open
83213,5,83213,Open medial dislocation of elbow,Med disloc elbow-open
83212,5,83212,Open posterior dislocation of elbow,Post disloc elbow-open
83211,5,83211,Open anterior dislocation of elbow,Ant disloc elbow-open
83210,5,83210,"Open dislocation of elbow, unspecified",Dislocat elbow NOS-open
83209,5,83209,"Closed dislocation of elbow, other",Dislocat elbow NEC-close
83204,5,83204,Closed lateral dislocation of elbow,Lat disloc elbow-closed
83203,5,83203,Closed medial dislocation of elbow,Med disloc elbow-closed
83202,5,83202,Closed posterior dislocation of elbow,Post disloc elbow-closed
83201,5,83201,Closed anterior dislocation of elbow,Ant disloc elbow-closed
83200,5,83200,"Closed dislocation of elbow, unspecified",Dislocat elbow NOS-close
83119,5,83119,"Open dislocation of shoulder, other",Disloc shoulder NEC-open
83114,5,83114,Open dislocation of acromioclavicular (joint),Disloc acromioclavic-opn
83113,5,83113,Open inferior dislocation of humerus,Infer disloc humerus-opn
83112,5,83112,Open posterior dislocation of humerus,Post disloc humerus-open
83111,5,83111,Open anterior dislocation of humerus,Ant disloc humerus-open
83110,5,83110,"Open dislocation of shoulder, unspecified",Disloc shoulder NOS-open
83109,5,83109,"Closed dislocation of shoulder, other",Disloc shoulder NEC-clos
83104,5,83104,Closed dislocation of acromioclavicular (joint),Disloc acromioclavic-cl
83103,5,83103,Closed inferior dislocation of humerus,Infer disloc humerus-cl
83102,5,83102,Closed posterior dislocation of humerus,Post disloc humerus-clos
83101,5,83101,Closed anterior dislocation of humerus,Ant disloc humerus-close
83100,5,83100,"Closed dislocation of shoulder, unspecified",Disloc shoulder NOS-clos
82539,5,82539,Other open fracture of tarsal and metatarsal bones,Fx foot bone NEC-open
82535,5,82535,Open fracture of metatarsal bone(s),Fx metatarsal-open
82534,5,82534,"Open fracture of cuneiform, foot","Fx cuneiform, foot-open"
82533,5,82533,Open fracture of cuboid,Fx cuboid-open
82532,5,82532,"Open fracture of navicular [scaphoid], foot","Fx navicular, foot-open"
82531,5,82531,Open fracture of astragalus,Fx astragalus-open
82530,5,82530,Open fracture of unspecified bone(s) of foot [except toes],Fx foot bone NOS-open
82529,5,82529,Other closed fracture of tarsal and metatarsal bones,Fx foot bone NEC-closed
82525,5,82525,Closed fracture of metatarsal bone(s),Fx metatarsal-closed
82524,5,82524,"Closed fracture of cuneiform, foot","Fx cuneiform, foot-clos"
82523,5,82523,Closed fracture of cuboid,Fx cuboid-closed
82522,5,82522,"Closed fracture of navicular [scaphoid], foot","Fx navicular, foot-clos"
82521,5,82521,Closed fracture of astragalus,Fx astragalus-closed
82520,5,82520,Closed fracture of unspecified bone(s) of foot [except toes],Fx foot bone NOS-closed
82392,5,82392,Open fracture of unspecified part of fibula with tibia,Fx tibia w fib NOS-open
82391,5,82391,Open fracture of unspecified part of fibula alone,Fx fibula NOS-open
82390,5,82390,Open fracture of unspecified part of tibia alone,Fx tibia NOS-open
82382,5,82382,Closed fracture of unspecified part of fibula with tibia,Fx tibia w fibula NOS-cl
82381,5,82381,Closed fracture of unspecified part of fibula alone,Fx fibula NOS-closed
82380,5,82380,Closed fracture of unspecified part of tibia alone,Fx tibia NOS-closed
82342,5,82342,"Torus fracture, fibula with tibia",Torus fx tibia/fibula
82341,5,82341,"Torus fracture, fibula alone",Torus fracture of fibula
82340,5,82340,"Torus fracture, tibia alone",Torus fracture of tibia
82332,5,82332,Open fracture of shaft of fibula with tibia,Fx shaft tibia w fib-opn
82331,5,82331,Open fracture of shaft of fibula alone,Fx fibula shaft-open
82330,5,82330,Open fracture of shaft of tibia alone,Fx tibia shaft-open
82322,5,82322,Closed fracture of shaft of fibula with tibia,Fx shaft fib w tib-clos
82321,5,82321,Closed fracture of shaft of fibula alone,Fx shaft fibula-closed
82320,5,82320,Closed fracture of shaft of tibia alone,Fx shaft tibia-closed
82312,5,82312,Open fracture of upper end of fibula with tibia,Fx up tibia w fibula-opn
82311,5,82311,Open fracture of upper end of fibula alone,Fx upper end fibula-open
82310,5,82310,Open fracture of upper end of tibia alone,Fx upper end tibia-open
82302,5,82302,Closed fracture of upper end of fibula with tibia,Fx up tibia w fibula-cl
82301,5,82301,Closed fracture of upper end of fibula alone,Fx upper end fibula-clos
82300,5,82300,Closed fracture of upper end of tibia alone,Fx upper end tibia-close
82139,5,82139,Other open fracture of lower end of femur,Fx low end femur NEC-opn
82133,5,82133,Open supracondylar fracture of femur,Supracondyl fx femur-opn
82132,5,82132,Open fracture of epiphysis. Lower (separation) of femur,Fx low femur epiphy-open
82131,5,82131,"Open fracture of condyle, femoral",Fx femoral condyle-open
82130,5,82130,"Open fracture of lower end of femur, unspecified part",Fx low end femur NOS-opn
82129,5,82129,Other closed fracture of lower end of femur,Fx low end femur NEC-cl
82123,5,82123,Closed supracondylar fracture of femur,Supracondyl fx femur-cl
82122,5,82122,"Closed fracture of epiphysis, lower (separation) of femur",Fx low femur epiphy-clos
82121,5,82121,"Closed fracture of condyle, femoral",Fx femoral condyle-close
82120,5,82120,"Closed fracture of lower end of femur, unspecified part",Fx low end femur NOS-cl
82111,5,82111,Open fracture of shaft of femur,Fx femur shaft-open
82110,5,82110,Open fracture of unspecified part of femur,Fx femur NOS-open
82101,5,82101,Closed fracture of shaft of femur,Fx femur shaft-closed
82100,5,82100,Closed fracture of unspecified part of femur,Fx femur NOS-closed
82032,5,82032,Open fracture of subtrochanteric section of neck of femur,Subtrochanteric fx-open
82031,5,82031,Open fracture of intertrochanteric section of neck of femur,Intertrochanteric fx-opn
82030,5,82030,"Open fracture of trochanteric section of neck of femur, unspecified",Trochanteric fx NOS-open
82022,5,82022,Closed fracture of subtrochanteric section of neck of femur,Subtrochanteric fx-close
82021,5,82021,Closed fracture of intertrochanteric section of neck of femur,Intertrochanteric fx-cl
82020,5,82020,Closed fracture of trochanteric section of neck of femur,Trochanteric fx NOS-clos
82019,5,82019,Other open transcervical fracture of neck of femur,Fx femur intrcap NEC-opn
82013,5,82013,Open fracture of base of neck of femur,Fx base femoral nck-open
82012,5,82012,Open fracture of midcervical section of neck of femur,"Fx femur, midcervic-open"
