DIAGNOSIS CODE,LEN_DX_CODE,SEVEN_DX_CODE,LONG_DESCRIPTION,SHORT_DESCRIPTION
94155,5,0094155,"Deep necrosis of underlying tissues [deep third degree] with loss of a body part, of nose (septum)",3rd deg burn w loss-nose
94154,5,0094154,"Deep necrosis of underlying tissues [deep third degree] with loss of a body part, of chin",3rd deg burn w loss-chin
94153,5,0094153,"Deep necrosis of underlying tissues [deep third degree] with loss of a body part, of lip(s)",3rd deg burn w loss-lip
94152,5,0094152,"Deep necrosis of underlying tissues [deep third degree] with loss of a body part, of eye (with other parts of face, head, and neck)",3rd deg burn w loss-eye
94151,5,0094151,"Deep necrosis of underlying tissues [deep third degree] with loss of a body part, of ear [any part]",3rd deg burn w loss-ear
94150,5,0094150,"Deep necrosis of underlying tissues [deep third degree] with loss of a body part, of face and head, unspecified site",3rd burn w loss-head NOS
94149,5,0094149,"Deep necrosis of underlying tissues [deep third degree] without mention of loss of a body part, of multiple sites [except with eye] of face, head, and neck",Deep 3 deg brn head-mult
94148,5,0094148,"Deep necrosis of underlying tissues [deep third degree] without mention of loss of a body part, of neck",Deep 3rd deg burn neck
94147,5,0094147,"Deep necrosis of underlying tissues [deep third degree] without mention of loss of a body part, of forehead and cheek",Deep 3rd burn face NEC
94146,5,0094146,Deep necrosis of underlying tissues [deep third degree] without mention of loss of a body part of scalp [any part],Deep 3rd deg burn scalp
94145,5,0094145,"Deep necrosis of underlying tissues [deep third degree] without mention of loss of a body part, of nose (septum)",Deep 3rd deg burn nose
94144,5,0094144,"Deep necrosis of underlying tissues [deep third degree] without mention of loss of a body part, of chin",Deep 3rd deg burn chin
94143,5,0094143,"Deep necrosis of underlying tissues [deep third degree] without mention of loss of a body part, of lip(s)",Deep 3rd deg burn lip
94142,5,0094142,"Deep necrosis of underlying tissues [deep third degree] without mention of loss of a body part, of eye (with other parts of face, head, and neck)",Deep 3rd deg burn eye
94141,5,0094141,"Deep necrosis of underlying tissues [deep third degree]) without mention of loss of a body part, ear [any part]",Deep 3rd deg burn ear
94140,5,0094140,"Deep necrosis of underlying tissues [deep third degree] without mention of loss of a body part, face and head, unspecified site",Deep 3 deg burn head NOS
94139,5,0094139,"Full-thickness skin loss [third degree, not otherwise specified] of multiple sites [except with eye] of face, head, and neck",3rd deg burn head-mult
94138,5,0094138,"Full-thickness skin loss [third degree, not otherwise specified] of neck",3rd deg burn neck
94137,5,0094137,"Full-thickness skin loss [third degree, not otherwise specified] of forehead and cheek",3rd deg burn face NEC
94136,5,0094136,"Full-thickness skin loss [third degree, not otherwise specified] of scalp [any part]",3rd deg burn scalp
94135,5,0094135,"Full-thickness skin loss [third degree, not otherwise specified] of nose (septum)",3rd deg burn nose
94134,5,0094134,"Full-thickness skin loss [third degree, not otherwise specified] of chin",3rd deg burn chin
94133,5,0094133,"Full-thickness skin loss [third degree, not otherwise specified] of lip(s)",3rd deg burn lip
94132,5,0094132,"Full-thickness skin loss [third degree, not otherwise specified] of eye (with other parts of face, head, and neck)",3rd deg burn eye
94131,5,0094131,"Full-thickness skin loss [third degree, not otherwise specified] of ear [any part]",3rd deg burn ear
94130,5,0094130,"Full-thickness skin loss [third degree, not otherwise specified] of face and head, unspecified site",3rd deg burn head NOS
94129,5,0094129,"Blisters, epidermal loss [second degree] of multiple sites [except with eye] of face, head, and neck",2nd deg burn head-mult
94128,5,0094128,"Blisters, epidermal loss [second degree] of neck",2nd deg burn neck
94127,5,0094127,"Blisters, epidermal loss [second degree] of forehead and cheek",2nd deg burn face NEC
94126,5,0094126,"Blisters, epidermal loss [second degree] of scalp [any part]",2nd deg burn scalp
94125,5,0094125,"Blisters, epidermal loss [second degree] of nose (septum)",2nd deg burn nose
94124,5,0094124,"Blisters, epidermal loss [second degree] of chin",2nd deg burn chin
94123,5,0094123,"Blisters, epidermal loss [second degree] of lip(s)",2nd deg burn lip
94122,5,0094122,"Blisters, epidermal loss [second degree] of eye (with other parts of face, head, and neck)",2nd deg burn eye
94121,5,0094121,"Blisters, epidermal loss [second degree] of ear [any part]",2nd deg burn ear
94120,5,0094120,"Blisters, epidermal loss [second degree] of face and head, unspecified site",2nd deg burn head NOS
94119,5,0094119,"Erythema [first degree] of multiple sites [except with eye] of face, head, and neck",1st deg burn head-mult
94118,5,0094118,Erythema [first degree] of neck,1st deg burn neck
94117,5,0094117,Erythema [first degree] of forehead and cheek,1st deg burn face NEC
94116,5,0094116,Erythema [first degree] of scalp [any part],1st deg burn scalp
94115,5,0094115,Erythema [first degree] of nose (septum),1st deg burn nose
94114,5,0094114,Erythema [first degree] of chin,1st deg burn chin
94113,5,0094113,Erythema [first degree] of lip(s),1st deg burn lip
94112,5,0094112,"Erythema [first degree] of eye (with other parts face, head, and neck)",1st deg burn eye
94111,5,0094111,Erythema [first degree] of ear [any part],1st deg burn ear
94110,5,0094110,"Erythema [first degree] of face and head, unspecified site",1st deg burn head NOS
94109,5,0094109,"Burn of unspecified degree of multiple sites [except with eye] of face, head, and neck",Burn NOS head-mult
94108,5,0094108,Burn of unspecified degree of neck,Burn NOS neck
94107,5,0094107,Burn of unspecified degree of forehead and cheek,Burn NOS face NEC
94106,5,0094106,Burn of unspecified degree of scalp [any part],Burn NOS scalp
94105,5,0094105,Burn of unspecified degree of nose (septum),Burn NOS nose
94104,5,0094104,Burn of unspecified degree of chin,Burn NOS chin
94103,5,0094103,Burn of unspecified degree of lip(s),Burn NOS lip
94102,5,0094102,"Burn of unspecified degree of eye (with other parts of face, head, and neck)",Burn NOS eye
94101,5,0094101,Burn of unspecified degree of ear [any part],Burn NOS ear
94100,5,0094100,"Burn of unspecified degree of face and head, unspecified site",Burn NOS head-unspec
92821,5,0092821,Crushing injury of ankle,Crushing injury ankle
92820,5,0092820,Crushing injury of foot,Crushing injury foot
92811,5,0092811,Crushing injury of knee,Crushing injury knee
92810,5,0092810,Crushing injury of lower leg,Crushing inj lower leg
92801,5,0092801,Crushing injury of hip,Crushing injury hip
92800,5,0092800,Crushing injury of thigh,Crushing injury thigh
92721,5,0092721,Crushing injury of wrist,Crushing injury of wrist
92720,5,0092720,Crushing injury of hand(s),Crushing injury of hand
92711,5,0092711,Crushing injury of elbow,Crushing injury elbow
92710,5,0092710,Crushing injury of forearm,Crushing injury forearm
92709,5,0092709,Crushing injury of multiple sites of upper arm,Crush inj shoulder & arm
92703,5,0092703,Crushing injury of upper arm,Crushing inj upper arm
92702,5,0092702,Crushing injury of axillary region,Crush inj axillary reg
92701,5,0092701,Crushing injury of scapular region,Crush inj scapul region
92700,5,0092700,Crushing injury of shoulder region,Crush inj shoulder reg
92619,5,0092619,Crushing injury of other specified sites of trunk,Crushing inj trunk NEC
92612,5,0092612,Crushing injury of buttock,Crushing injury buttock
92611,5,0092611,Crushing injury of back,Crushing injury back
92421,5,0092421,Contusion of ankle,Contusion of ankle
92420,5,0092420,Contusion of foot,Contusion of foot
92411,5,0092411,Contusion of knee,Contusion of knee
92410,5,0092410,Contusion of lower leg,Contusion of lower leg
92401,5,0092401,Contusion of hip,Contusion of hip
92400,5,0092400,Contusion of thigh,Contusion of thigh
92321,5,0092321,Contusion of wrist,Contusion of wrist
92320,5,0092320,Contusion of hand(s),Contusion of hand(s)
92311,5,0092311,Contusion of elbow,Contusion of elbow
92310,5,0092310,Contusion of forearm,Contusion of forearm
92309,5,0092309,Contusion of multiple sites of shoulder and upper arm,Contusion shoulder & arm
92303,5,0092303,Contusion of upper arm,Contusion of upper arm
92302,5,0092302,Contusion of axillary region,Contusion axillary reg
92301,5,0092301,Contusion of scapular region,Contusion scapul region
92300,5,0092300,Contusion of shoulder region,Contusion shoulder reg
92233,5,0092233,Contusion of interscapular region,Interscplr reg contusion
92232,5,0092232,Contusion of buttock,Buttock contusion
92231,5,0092231,Contusion of back,Back contusion
90454,5,0090454,Injury to posterior tibial vein,Inj post tibial vein
90453,5,0090453,Injury to posterior tibial artery,Inj post tibial artery
90452,5,0090452,Injury to anterior tibial vein,Inj anterior tibial vein
90451,5,0090451,Injury to anterior tibial artery,Inj anter tibial artery
90450,5,0090450,"Injury to tibial vessel(s), unspecified",Injury tibial vessel NOS
90442,5,0090442,Injury to popliteal vein,Injury popliteal vein
90441,5,0090441,Injury to popliteal artery,Injury popliteal artery
90440,5,0090440,"Injury to popliteal vessel(s), unspecified",Inj popliteal vessel NOS
90302,5,0090302,Injury to axillary vein,Injury axillary vein
90301,5,0090301,Injury to axillary artery,Injury axillary artery
90300,5,0090300,"Injury to axillary vessel(s), unspecified",Inj axillary vessel NOS
90289,5,0090289,Injury to other specified blood vessels of abdomen and pelvis,Inj abdominal vessel NEC
90287,5,0090287,Injury to multiple blood vessels of abdomen and pelvis,Inj mult abd/pelv vessel
90282,5,0090282,Injury to ovarian vein,Injury ovarian vein
90281,5,0090281,Injury to ovarian artery,Injury ovarian artery
90259,5,0090259,"Injury to iliac blood vessels, other",Injury iliac vessel NEC
90256,5,0090256,Injury to uterine vein,Injury uterine vein
90255,5,0090255,Injury to uterine artery,Injury uterine artery
90254,5,0090254,Injury to iliac vein,Injury iliac vein
90253,5,0090253,Injury to iliac artery,Injury iliac artery
90252,5,0090252,Injury to hypogastric vein,Injury hypogastric vein
90251,5,0090251,Injury to hypogastric artery,Inj hypogastric artery
90250,5,0090250,"Injury to iliac vessel(s), unspecified",Injury iliac vessel NOS
90249,5,0090249,"Injury to renal blood vessels, other",Injury renal vessel NEC
90242,5,0090242,Injury to renal vein,Injury renal vein
90241,5,0090241,Injury to renal artery,Injury renal artery
90240,5,0090240,"Injury to renal vessel(s), unspecified",Injury renal vessel NOS
90239,5,0090239,"Injury to portal and splenic veins, other",Inj port/splen vess NEC
90234,5,0090234,Injury to splenic vein,Injury splenic vein
90233,5,0090233,Injury to portal vein,Injury portal vein
90232,5,0090232,Injury to inferior mesenteric vein,Inj inferior mesent vein
90231,5,0090231,Injury to superior mesenteric vein and primary subdivisions,Inj superior mesent vein
90229,5,0090229,"Injury to celiac and mesenteric arteries, other",Inj mesenteric vess NEC
90227,5,0090227,Injury to inferior mesenteric artery,Inj infer mesenteric art
90226,5,0090226,Injury to primary branches of superior mesenteric artery,Inj brnch sup mesent art
90225,5,0090225,Injury to superior mesenteric artery (trunk),Inj super mesenteric art
90224,5,0090224,Injury to other specified branches of celiac axis,Injury celiac axis NEC
90223,5,0090223,Injury to splenic artery,Injury splenic artery
90222,5,0090222,Injury to hepatic artery,Injury hepatic artery
90221,5,0090221,Injury to gastric artery,Injury gastric artery
90220,5,0090220,"Injury to celiac and mesenteric arteries, unspecified",Inj celiac/mesen art NOS
90219,5,0090219,"Injury to inferior vena cava, other",Inj infer vena cava NEC
90211,5,0090211,Injury to hepatic veins,Injury hepatic veins
90210,5,0090210,"Injury to inferior vena cava, unspecified",Inj infer vena cava NOS
90189,5,0090189,Injury to other specified blood vessels of thorax,Inj thoracic vessel NEC
90183,5,0090183,Injury to multiple blood vessels of thorax,Inj mult thoracic vessel
90182,5,0090182,Injury to internal mammary artery or vein,Inj int mammary art/vein
90181,5,0090181,Injury to intercostal artery or vein,Inj intercostal art/vein
90142,5,0090142,Injury to pulmonary vein,Injury pulmonary vein
90141,5,0090141,Injury to pulmonary artery,Injury pulmonary artery
90140,5,0090140,"Injury to pulmonary vessel(s), unspecified",Inj pulmonary vessel NOS
90089,5,0090089,Injury to other specified blood vessels of head and neck,Inj head/neck vessel NEC
90082,5,0090082,Injury to multiple blood vessels of head and neck,Inj mlt head/neck vessel
90081,5,0090081,Injury to external jugular vein,Inj extern jugular vein
90003,5,0090003,Injury to internal carotid artery,Inj internal carotid art
90002,5,0090002,Injury to external carotid artery,Inj external carotid art
90001,5,0090001,Injury to common carotid artery,Inj common carotid arter
90000,5,0090000,"Injury to carotid artery, unspecified",Injur carotid artery NOS
88122,5,0088122,"Open wound of wrist, with tendon involvement",Opn wound wrist w tendon
88121,5,0088121,"Open wound of elbow, with tendon involvement",Opn wound elbow w tendon
88120,5,0088120,"Open wound of forearm, with tendon involvement",Open wnd forearm w tendn
88112,5,0088112,"Open wound of wrist, complicated",Open wound wrist-complic
88111,5,0088111,"Open wound of elbow, complicated",Open wound elbow-complic
88110,5,0088110,"Open wound of forearm, complicated",Open wound forearm-compl
88102,5,0088102,"Open wound of wrist, without mention of complication",Open wound of wrist
88101,5,0088101,"Open wound of elbow, without mention of complication",Open wound of elbow
88100,5,0088100,"Open wound of forearm, without mention of complication",Open wound of forearm
88029,5,0088029,"Open wound of multiple sites of shoulder and upper arm, with tendon involvement",Mlt opn wnd shldr w tend
88023,5,0088023,"Open wound of upper arm, with tendon involvement",Open wnd up arm w tendon
88022,5,0088022,"Open wound of axillary region, with tendon involvement",Open wnd axilla w tendon
88021,5,0088021,"Open wound of scapular region, with tendon involvement",Opn wnd scapula w tendon
88020,5,0088020,"Open wound of shoulder region, with tendon involvement",Opn wnd shouldr w tendon
88019,5,0088019,"Open wound of multiple sites of shoulder and upper arm, complicated",Mult opn wnd should-comp
88013,5,0088013,"Open wound of upper arm, complicated",Open wnd upper arm-compl
88012,5,0088012,"Open wound of axillary region, complicated",Open wound axilla-compl
88011,5,0088011,"Open wound of scapular region, complicated",Open wound scapula-compl
88010,5,0088010,"Open wound of shoulder region, complicated",Open wnd shoulder-compl
88009,5,0088009,"Open wound of multiple sites of shoulder and upper arm, without mention of complication",Mult open wound shoulder
88003,5,0088003,"Open wound of upper arm, without mention of complication",Open wound of upper arm
88002,5,0088002,"Open wound of axillary region, without mention of complication",Open wound of axilla
88001,5,0088001,"Open wound of scapular region, without mention of complication",Open wound of scapula
88000,5,0088000,"Open wound of shoulder region, without mention of complication",Open wound of shoulder
87412,5,0087412,"Open wound of trachea, complicated",Open wound trachea-compl
87411,5,0087411,"Open wound of larynx, complicated",Open wound larynx-compl
87410,5,0087410,"Open wound of larynx with trachea, complicated",Opn wnd lary w trac-comp
87402,5,0087402,"Open wound of trachea, without mention of complication",Open wound of trachea
87401,5,0087401,"Open wound of larynx, without mention of complication",Open wound of larynx
87400,5,0087400,"Open wound of larynx with trachea, without mention of complication",Opn wnd larynx w trachea
87379,5,0087379,"Open wound of other and multiple sites of mouth, complicated",Open wnd mouth NOS-compl
87375,5,0087375,"Open wound of palate, complicated",Open wound palate-compl
87374,5,0087374,"Open wound of tongue and floor of mouth, complicated",Open wound tongue-compl
87373,5,0087373,"Open wound of tooth (broken) (fractured) (due to trauma), complicated",Broken tooth-complicated
87372,5,0087372,"Open wound of gum (alveolar process), complicated",Open wound gum-compl
87371,5,0087371,"Open wound of buccal mucosa, complicated",Opn wnd buc mucosa-compl
87370,5,0087370,"Open wound of mouth, unspecified site, complicated",Open wnd mouth NOS-compl
87369,5,0087369,"Open wound of other and multiple sites of mouth, without mention of complication",Open wound mouth NEC
87365,5,0087365,"Open wound of palate, without mention of complication",Open wound of palate
87364,5,0087364,"Open wound of tongue and floor of mouth, without mention of complication",Opn wnd tongue/mouth flr
87363,5,0087363,"Open wound of tooth (broken) (fractured) (due to trauma), without mention of complication",Broken tooth-uncomplic
87362,5,0087362,"Open wound of gum (alveolar process), without mention of complication",Open wound of gum
87361,5,0087361,"Open wound of buccal mucosa, without mention of complication",Open wound buccal mucosa
87360,5,0087360,"Open wound of mouth, unspecified site, without mention of complication",Open wound of mouth NOS
87359,5,0087359,"Open wound of other and multiple sites of face, complicated",Open wnd face NEC-compl
87354,5,0087354,"Open wound of jaw, complicated",Open wound jaw-complicat
87353,5,0087353,"Open wound of lip, complicated",Open wound lip-complicat
87352,5,0087352,"Open wound of forehead, complicated",Open wnd forehead-compl
87351,5,0087351,"Open wound of cheek, complicated",Open wound cheek-compl
87350,5,0087350,"Open wound of face, unspecified site, complicated",Open wnd face NOS-compl
87349,5,0087349,"Open wound of other and multiple sites of face, without mention of complication",Open wound of face NEC
87344,5,0087344,"Open wound of jaw, without mention of complication",Open wound of jaw
87343,5,0087343,"Open wound of lip, without mention of complication",Open wound of lip
87342,5,0087342,"Open wound of forehead, without mention of complication",Open wound of forehead
87341,5,0087341,"Open wound of cheek, without mention of complication",Open wound of cheek
87340,5,0087340,"Open wound of face, unspecified site, without mention of complication",Open wound of face NOS
87339,5,0087339,"Open wound of multiple sites of nose, complicated",Mult open wnd nose-compl
87333,5,0087333,"Open wound of nasal sinus, complicated",Open wnd nas sinus-compl
87332,5,0087332,"Open wound of nasal cavity, complicated",Open wnd nasal cav-compl
87331,5,0087331,"Open wound of nasal septum, complicated",Opn wnd nas septum-compl
87330,5,0087330,"Open wound of nose, unspecified site, complicated",Open wnd nose NOS-compl
87329,5,0087329,"Open wound of multiple sites of nose, without mention of complication",Mult open wound nose
87323,5,0087323,"Open wound of nasal sinus, without mention of complication",Open wound nasal sinus
87322,5,0087322,"Open wound of nasal cavity, without mention of complication",Open wound nasal cavity
87321,5,0087321,"Open wound of nasal septum, without mention of complication",Open wound nasal septum
87320,5,0087320,"Open wound of nose, unspecified site, without mention of complication",Open wound of nose NOS
87279,5,0087279,"Open wound of other and multiple sites of ear, complicated",Open wound ear NEC-compl
87274,5,0087274,"Open wound of cochlea, complicated",Open wound cochlea-compl
87273,5,0087273,"Open wound of eustachian tube, complicated",Opn wnd eustach tb-compl
87272,5,0087272,"Open wound of ossicles, complicated",Open wnd ossicles-compl
87271,5,0087271,"Open wound of ear drum, complicated",Open wnd ear drum-compl
87269,5,0087269,"Open wound of other and multiple sites of ear, without mention of complication",Open wound of ear NEC
87264,5,0087264,"Open wound of cochlea, without mention of complication",Open wound of cochlea
87263,5,0087263,"Open wound of eustachian tube, without mention of complication",Open wnd eustachian tube
87262,5,0087262,"Open wound of ossicles, without mention of complication",Open wound of ossicles
87261,5,0087261,"Open wound of ear drum, without mention of complication",Open wound of ear drum
87212,5,0087212,"Open wound of auditory canal, complicated",Open wnd aud canal-compl
87211,5,0087211,"Open wound of auricle, ear, complicated",Open wound auricle-compl
87210,5,0087210,"Open wound of external ear, unspecified site, complicated",Opn wnd ex ear NOS-compl
87202,5,0087202,"Open wound of auditory canal, without mention of complication",Opn wound auditory canal
87201,5,0087201,"Open wound of auricle, ear, without mention of complication",Open wound of auricle
87200,5,0087200,"Open wound of external ear, unspecified site, without mention of complication",Opn wound extern ear NOS
86819,5,0086819,"Injury to other and multiple intra-abdominal organs, with open wound into cavity",Intra-abdom inj NEC-open
86814,5,0086814,"Injury to other intra-abdominal organs with open wound into cavity, retroperitoneum",Retroperitoneum inj-open
86813,5,0086813,"Injury to other intra-abdominal organs with open wound into cavity, peritoneum",Peritoneum injury-open
86812,5,0086812,"Injury to other intra-abdominal organs with open wound into cavity, bile duct and gallbladder",Biliary tract injury-opn
86811,5,0086811,"Injury to other intra-abdominal organs with open wound into cavity, adrenal gland",Adrenal gland injury-opn
86810,5,0086810,"Injury to other intra-abdominal organs with open wound into cavity, unspecified intra-abdominal organ",Intra-abdom inj NOS-open
86809,5,0086809,Injury to other and multiple intra-abdominal organs without mention of open wound into cavity,Intra-abdom inj NEC-clos
86804,5,0086804,"Injury to other intra-abdominal organs without mention of open wound into cavity, retroperitoneum",Retroperitoneum inj-cl
86803,5,0086803,"Injury to other intra-abdominal organs without mention of open wound into cavity, peritoneum",Peritoneum injury-closed
86802,5,0086802,"Injury to other intra-abdominal organs without mention of open wound into cavity, bile duct and gallbladder",Biliary tract injury-cl
86801,5,0086801,"Injury to other intra-abdominal organs without mention of open wound into cavity, adrenal gland",Adrenal gland injury-cl
86800,5,0086800,"Injury to other intra-abdominal organs without mention of open wound into cavity, unspecified intra-abdominal organ",Intra-abdom inj NOS-clos
86613,5,0086613,"Injury to kidney with open wound into cavity, complete disruption of kidney parenchyma",Kidney disruption-open
86612,5,0086612,"Injury to kidney with open wound into cavity, laceration",Kidney laceration-open
86611,5,0086611,"Injury to kidney with open wound into cavity, hematoma without rupture of capsule",Kidney hematoma-open
86610,5,0086610,"Injury to kidney with open wound into cavity, unspecified injury",Kidney injury NOS-open
86603,5,0086603,"Injury to kidney without mention of open wound into cavity, complete disruption of kidney parenchyma",Kidney disruption-closed
86602,5,0086602,"Injury to kidney without mention of open wound into cavity, laceration",Kidney laceration-closed
86601,5,0086601,"Injury to kidney without mention of open wound into cavity, hematoma without rupture of capsule",Kidney hematoma-closed
86600,5,0086600,"Injury to kidney without mention of open wound into cavity, unspecified injury",Kidney injury NOS-closed
86519,5,0086519,Other injury to spleen with open wound into cavity,Spleen injury NEC-open
86514,5,0086514,"Injury to spleen with open wound into cavity, massive parenchyma disruption",Spleen disruption-open
86513,5,0086513,"Injury to spleen with open wound into cavity, laceration extending into parenchyma",Spleen parnchym lac-opn
86512,5,0086512,"Injury to spleen with open wound into cavity, capsular tears, without major disruption of parenchyma",Spleen capsular tear-opn
86511,5,0086511,"Injury to spleen with open wound into cavity, hematoma without rupture of capsule",Spleen hematoma-open
86510,5,0086510,"Injury to spleen with open wound into cavity, unspecified injury",Spleen injury NOS-open
86509,5,0086509,Other injury into spleen without mention of open wound into cavity,Spleen injury NEC-closed
86504,5,0086504,"Injury to spleen without mention of open wound into cavity, massive parenchymal disruption",Spleen disruption-clos
86503,5,0086503,"Injury to spleen without mention of open wound into cavity, laceration extending into parenchyma",Spleen parenchyma lacer
86502,5,0086502,"Injury to spleen without mention of open wound into cavity, capsular tears, without major disruption of parenchyma",Spleen capsular tear
86501,5,0086501,"Injury to spleen without mention of open wound into cavity, hematoma without rupture of capsule",Spleen hematoma-closed
86500,5,0086500,"Injury to spleen without mention of open wound into cavity, unspecified injury",Spleen injury NOS-closed
86419,5,0086419,Other injury to liver with open wound into cavity,Liver injury NEC-open
86415,5,0086415,"Injury to liver with open wound into cavity, laceration, unspecified",Liver lacerat unspcf opn
86414,5,0086414,"Injury to liver with open wound into cavity, laceration, major","Liver lacerat, major-opn"
86413,5,0086413,"Injury to liver with open wound into cavity, laceration, moderate","Liver lacerat, mod-open"
86412,5,0086412,"Injury to liver with open wound into cavity, laceration, minor","Liver lacerat, minor-opn"
86411,5,0086411,"Injury to liver with open wound into cavity, hematoma and contusion",Liver hematom/contus-opn
86410,5,0086410,"Injury to liver with open wound into cavity, unspecified injury",Liver injury NOS-open
86409,5,0086409,Other injury to liver without mention of open wound into cavity,Liver injury NEC-closed
86405,5,0086405,"Injury to liver without mention of open wound into cavity laceration, unspecified",Liver lacerat unspcf cls
86404,5,0086404,"Injury to liver without mention of open wound into cavity, laceration, major","Liver laceration, major"
86403,5,0086403,"Injury to liver without mention of open wound into cavity, laceration, moderate","Liver laceration, mod"
86402,5,0086402,"Injury to liver without mention of open wound into cavity, laceration, minor","Liver laceration, minor"
86401,5,0086401,"Injury to liver without mention of open wound into cavity, hematoma and contusion",Liver hematoma/contusion
86400,5,0086400,"Injury to liver without mention of open wound into cavity, unspecified injury",Liver injury NOS-closed
86399,5,0086399,"Injury to other gastrointestinal sites, with open wound into cavity",GI injury NEC-open
86395,5,0086395,"Injury to appendix, with open wound into cavity",Appendix injury-open
86394,5,0086394,"Injury to pancreas, multiple and unspecified sites, with open wound into cavity",Pancreas injury NOS-open
86393,5,0086393,"Injury to pancreas, tail, with open wound into cavity","Pancreas, tail inj-open"
86392,5,0086392,"Injury to pancreas, body, with open wound into cavity","Pancreas, body inj-open"
86391,5,0086391,"Injury to pancreas, head, with open wound into cavity","Pancreas, head inj-open"
86390,5,0086390,"Injury to gastrointestinal tract, unspecified site, with open wound into cavity",GI injury NOS-open
86389,5,0086389,"Injury to other gastrointestinal sites, without mention of open wound into cavity",GI injury NEC-closed
86385,5,0086385,"Injury to appendix, without mention of open wound into cavity",Appendix injury-closed
86384,5,0086384,"Injury to pancreas, multiple and unspecified sites, without mention of open wound into cavity",Pancreas injury NOS-clos
86383,5,0086383,"Injury to pancreas, tail, without mention of open wound into cavity","Pancreas, tail inj-close"
86382,5,0086382,"Injury to pancreas, body, without mention of open wound into cavity","Pancreas, body inj-close"
86381,5,0086381,"Injury to pancreas, head, without mention of open wound into cavity","Pancreas, head inj-close"
86380,5,0086380,"Injury to gastrointestinal tract, unspecified site, without mention of open wound into cavity",GI injury NOS-closed
86359,5,0086359,"Other injury to colon or rectum, with open wound into cavity",Colon injury NEC-open
86356,5,0086356,"Injury to multiple sites in colon and rectum, with open wound into cavity",Colon inj mult site-open
86355,5,0086355,"Injury to rectum, with open wound into cavity",Rectum injury-open
86354,5,0086354,"Injury to sigmoid colon, with open wound into cavity",Sigmoid colon inj-open
86353,5,0086353,"Injury to descending [left] colon, with open wound into cavity",Descending colon inj-opn
86352,5,0086352,"Injury to transverse colon, with open wound into cavity",Transverse colon inj-opn
86351,5,0086351,"Injury to ascending [right] colon, with open wound into cavity",Ascending colon inj-open
86350,5,0086350,"Injury to colon, unspecified site, with open wound into cavity",Colon injury NOS-open
86349,5,0086349,"Other injury to colon or rectum, without mention of open wound into cavity",Colon injury NEC-closed
86346,5,0086346,"Injury to multiple sites in colon and rectum, without mention of open wound into cavity",Colon inj mult site-clos
86345,5,0086345,"Injury to rectum, without mention of open wound into cavity",Rectum injury-closed
86344,5,0086344,"Injury to sigmoid colon, without mention of open wound into cavity",Sigmoid colon inj-closed
86343,5,0086343,"Injury to descending [left] colon, without mention of open wound into cavity",Descending colon inj-cl
86342,5,0086342,"Injury to transverse colon, without mention of open wound into cavity",Transverse colon inj-cl
86341,5,0086341,"Injury to ascending [right] colon, without mention of open wound into cavity",Ascending colon inj-clos
86340,5,0086340,"Injury to colon, unspecified site, without mention of open wound into cavity",Colon injury NOS-closed
86339,5,0086339,"Other injury to small intestine, with open wound into cavity",Small intest inj NEC-opn
86331,5,0086331,"Injury to duodenum, with open wound into cavity",Duodenum injury-open
86330,5,0086330,"Injury to small intestine, unspecified site, with open wound into cavity",Small intest inj NOS-opn
86329,5,0086329,"Other injury to small intestine, without mention of open wound into cavity",Small intest inj NEC-cl
86321,5,0086321,"Injury to duodenum, without open wound into cavity",Duodenum injury-closed
86320,5,0086320,"Injury to small intestine, unspecified site, without open wound into cavity",Small intest inj NOS-cl
86239,5,0086239,Injury to other specified intrathoracic organs with open wound into cavity,Intrathorac inj NEC-open
86232,5,0086232,Injury to esophagus with open wound into cavity,Esophagus injury-open
86231,5,0086231,Injury to bronchus with open wound into cavity,Bronchus injury-open
86229,5,0086229,Injury to other specified intrathoracic organs without mention of open wound into cavity,Intrathoracic inj NEC-cl
86222,5,0086222,Injury to esophagus without mention of open wound into cavity,Esophagus injury-closed
86221,5,0086221,Injury to bronchus without mention of open wound into cavity,Bronchus injury-closed
86132,5,0086132,Laceration of lung with open wound into thorax,Lung laceration-open
86131,5,0086131,Contusion of lung with open wound into thorax,Lung contusion-open
86130,5,0086130,Unspecified injury of lung with open wound into thorax,Lung injury NOS-open
86122,5,0086122,Laceration of lung without mention of open wound into thorax,Lung laceration-closed
86121,5,0086121,Contusion of lung without mention of open wound into thorax,Lung contusion-closed
86120,5,0086120,Unspecified injury of lung without mention of open wound into thorax,Lung injury NOS-closed
86113,5,0086113,Laceration of heart with penetration of heart chambers with open wound into thorax,Heart chamber lacer-opn
86112,5,0086112,"Laceration of heart without penetration of heart chambers, with open wound into thorax",Heart laceration-open
86111,5,0086111,Contusion of heart with open wound into thorax,Heart contusion-open
86110,5,0086110,Unspecified injury of heart with open wound into thorax,Heart injury NOS-open
86103,5,0086103,Laceration of heart with penetration of heart chambers without mention of open wound into thorax,Heart chamber lacerat-cl
86102,5,0086102,Laceration of heart without penetration of heart chambers or without mention of open wound into thorax,Heart laceration-closed
86101,5,0086101,Contusion of heart without mention of open wound into thorax,Heart contusion-closed
86100,5,0086100,Unspecified injury of heart without mention of open wound into thorax,Heart injury NOS-closed
85419,5,0085419,"Intracranial injury of other and unspecified nature with open intracranial wound, with concussion, unspecified",Opn brain inj-concussion
